key,value,date
Technical/Computing,3,09/01/16
Directional,1,09/01/16
Reference,6,09/01/16
Service,4,09/01/16
Technical/Computing,0,09/02/16
Directional,1,09/02/16
Reference,2,09/02/16
Service,3,09/02/16
Technical/Computing,0,09/03/16
Directional,0,09/03/16
Reference,0,09/03/16
Service,0,09/03/16
Technical/Computing,1,09/04/16
Directional,0,09/04/16
Reference,0,09/04/16
Service,0,09/04/16
Technical/Computing,2,09/05/16
Directional,0,09/05/16
Reference,0,09/05/16
Service,0,09/05/16
Technical/Computing,31,09/06/16
Directional,15,09/06/16
Reference,11,09/06/16
Service,15,09/06/16
Technical/Computing,25,09/07/16
Directional,11,09/07/16
Reference,14,09/07/16
Service,11,09/07/16
Technical/Computing,25,09/08/16
Directional,5,09/08/16
Reference,3,09/08/16
Service,6,09/08/16
Technical/Computing,6,09/09/16
Directional,2,09/09/16
Reference,3,09/09/16
Service,4,09/09/16
Technical/Computing,0,09/10/16
Directional,3,09/10/16
Reference,0,09/10/16
Service,1,09/10/16
Technical/Computing,13,09/11/16
Directional,4,09/11/16
Reference,1,09/11/16
Service,1,09/11/16
Technical/Computing,30,09/12/16
Directional,14,09/12/16
Reference,10,09/12/16
Service,15,09/12/16
Technical/Computing,13,09/13/16
Directional,6,09/13/16
Reference,10,09/13/16
Service,5,09/13/16
Technical/Computing,14,09/14/16
Directional,3,09/14/16
Reference,4,09/14/16
Service,4,09/14/16
Technical/Computing,7,09/15/16
Directional,6,09/15/16
Reference,4,09/15/16
Service,5,09/15/16
Technical/Computing,9,09/16/16
Directional,3,09/16/16
Reference,4,09/16/16
Service,3,09/16/16
Technical/Computing,1,09/17/16
Directional,1,09/17/16
Reference,0,09/17/16
Service,1,09/17/16
Technical/Computing,0,09/18/16
Directional,0,09/18/16
Reference,0,09/18/16
Service,0,09/18/16
Technical/Computing,19,09/19/16
Directional,4,09/19/16
Reference,8,09/19/16
Service,20,09/19/16
Technical/Computing,10,09/20/16
Directional,6,09/20/16
Reference,11,09/20/16
Service,9,09/20/16
Technical/Computing,13,09/21/16
Directional,7,09/21/16
Reference,11,09/21/16
Service,6,09/21/16
Technical/Computing,4,09/22/16
Directional,4,09/22/16
Reference,4,09/22/16
Service,4,09/22/16
Technical/Computing,4,09/23/16
Directional,1,09/23/16
Reference,7,09/23/16
Service,3,09/23/16
Technical/Computing,0,09/24/16
Directional,0,09/24/16
Reference,0,09/24/16
Service,0,09/24/16
Technical/Computing,2,09/25/16
Directional,0,09/25/16
Reference,1,09/25/16
Service,0,09/25/16
Technical/Computing,5,09/26/16
Directional,1,09/26/16
Reference,5,09/26/16
Service,3,09/26/16
Technical/Computing,8,09/27/16
Directional,2,09/27/16
Reference,7,09/27/16
Service,3,09/27/16
Technical/Computing,8,09/28/16
Directional,0,09/28/16
Reference,3,09/28/16
Service,6,09/28/16
Technical/Computing,6,09/29/16
Directional,2,09/29/16
Reference,6,09/29/16
Service,2,09/29/16
Technical/Computing,4,09/30/16
Directional,3,09/30/16
Reference,2,09/30/16
Service,2,09/30/16
Technical/Computing,0,10/01/16
Directional,0,10/01/16
Reference,0,10/01/16
Service,0,10/01/16
Technical/Computing,2,10/02/16
Directional,0,10/02/16
Reference,0,10/02/16
Service,0,10/02/16
Technical/Computing,6,10/03/16
Directional,4,10/03/16
Reference,3,10/03/16
Service,2,10/03/16
Technical/Computing,6,10/04/16
Directional,1,10/04/16
Reference,5,10/04/16
Service,2,10/04/16
Technical/Computing,3,10/05/16
Directional,0,10/05/16
Reference,3,10/05/16
Service,1,10/05/16
Technical/Computing,1,10/06/16
Directional,0,10/06/16
Reference,2,10/06/16
Service,3,10/06/16
Technical/Computing,2,10/07/16
Directional,1,10/07/16
Reference,4,10/07/16
Service,0,10/07/16
Technical/Computing,0,10/08/16
Directional,0,10/08/16
Reference,0,10/08/16
Service,0,10/08/16
Technical/Computing,0,10/09/16
Directional,0,10/09/16
Reference,0,10/09/16
Service,0,10/09/16
Technical/Computing,4,10/10/16
Directional,2,10/10/16
Reference,3,10/10/16
Service,2,10/10/16
Technical/Computing,10,10/11/16
Directional,6,10/11/16
Reference,3,10/11/16
Service,2,10/11/16
Technical/Computing,2,10/12/16
Directional,0,10/12/16
Reference,3,10/12/16
Service,0,10/12/16
Technical/Computing,9,10/13/16
