key,value,date
Directional,2,9/1/16
Service,7,9/1/16
Reference,8,9/1/16
Directional,36,9/8/16
Service,37,9/8/16
Reference,31,9/8/16
Directional,37,9/15/16
Service,34,9/15/16
Reference,33,9/15/16
Directional,22,9/22/16
Service,42,9/22/16
Reference,41,9/22/16
Directional,8,9/29/16
Service,16,9/29/16
Reference,24,9/29/16
Directional,6,10/6/16
Service,8,10/6/16
Reference,17,10/6/16
Directional,13,10/13/16
Service,6,10/13/16
Reference,13,10/13/16
Directional,10,10/20/16
Service,20,10/20/16
Reference,28,10/20/16
Directional,7,10/27/16
Service,10,10/27/16
Reference,18,10/27/16
Directional,5,11/3/16
Service,8,11/3/16
Reference,8,11/3/16
Directional,14,11/10/16
Service,14,11/10/16
Reference,12,11/10/16
Directional,9,11/17/16
Service,10,11/17/16
Reference,23,11/17/16
Directional,1,11/24/16
Service,0,11/24/16
Reference,16,11/24/16
Directional,4,12/1/16
Service,3,12/1/16
Reference,4,12/1/16
Directional,3,12/8/16
Service,29,12/8/16
Reference,11,12/8/16
Directional,1,12/15/16
Service,28,12/15/16
Reference,11,12/15/16
